math_score,science_score,english_score,study_hours,final_score
62,78,69,10.2,82.9
38,84,38,8.2,64.5
22,36,85,10.3,59.9
99,71,92,11.3,96.9
39,28,46,5,40.6
64,70,73,10.9,86.1
22,36,93,5.1,51.9
55,24,89,2.5,62.3
100,34,49,5.1,70.4
45,42,82,3,57.5
,79,21,6.5,68.4
96,24,36,4.4,58.3
52,90,30,1.6,57.1
71,38,67,2.3,67.2
40,57,36,5.2,48.6
99,25,57,7.6,69.2
72,87,,4.2,81.8
67,27,24,1.2,38.7
87,96,61,5.7,83.1
40,40,43,11.4,51.8
42,28,29,4.2,45.3
74,85,82,11.7,90.4
76,40,84,6.2,73.1
20,45,69,5.8,50.2
79,51,63,11.8,73.8
95,59,86,1.1,77.6
55,20,,5.4,53.5
59,83,75,8.2,83.1
44,50,25,7.3,52.1
34,80,53,9.2,72
87,43,24,4.3,56
79,32,51,11.5,66.9
20,76,36,6.5,46.3
83,93,37,1.8,73
36,60,91,9.2,69.3
42,97,90,8.2,88.8
53,37,39,1.6,49.6
77,79,100,3.7,86.5
81,50,91,3.2,79.4
53,80,90,2.5,79.6
62,25,94,6.3,74.5
37,31,57,4.2,49
64,92,84,6.1,92.9
69,90,86,9.6,86
36,45,45,6.2,47.6
73,97,73,3.3,87
94,96,58,10.4,93.3
33,90,98,-4,86.5
23,45,47,3.5,37.6
71,56,63,6.4,65.1
47,80,88,3.2,76
92,73,59,2.9,70.7
84,35,97,9.8,86.3
72,83,46,11.5,74.3
40,34,89,11.6,74.1
,39,82,6.3,71.8
69,66,21,11,62.4
26,32,25,6.7,29
32,86,100,6.3,87.2
30,69,45,9.1,57.3
47,92,43,5.7,72.8
97,93,26,7.9,76.8
35,23,27,9.3,39
80,24,46,6.5,59.6
69,45,43,6.9,56
49,98,57,2.9,69.2
56,94,86,9.3,87.2
,92,78,2.9,90.4
53,52,48,6.4,57.1
29,98,28,6.9,67
79,58,44,5.7,74.4
60,26,49,7.9,50.4
67,84,70,7.9,76
23,52,28,5.2,41.1
72,30,88,6.9,74.2
41,99,64,6.2,68.5
71,89,95,3.4,91.5
22,61,95,2.8,65.5
37,98,61,8.9,71.1
44,71,88,3.8,74.6
60,76,42,10,76.8
27,56,32,8.7,51.8
39,60,63,5.1,56.9
74,79,77,6.3,78.9
81,40,90,,74.7
40,43,99,11.7,71.7
65,69,67,8.3,84.6
63,71,40,6.9,65.4
86,59,54,,63.7
74,32,94,5.6,74.3
58,83,72,11.1,84
99,36,53,8.4,72
49,27,31,6.5,44.3
48,86,70,5.5,75.8
38,27,34,8.4,41
73,85,39,2.3,67.5
87,91,98,7.7,109.9
64,58,70,5.8,62.2
44,42,79,7.5,65.2
96,31,83,6,78.4
54,58,98,10.2,83.4
34,100,24,9.1,61.4
94,32,24,10.7,62.4
97,91,41,4.8,79
28,29,95,9.1,61.6
98,,99,4.6,98.4
63,24,64,9.3,61.8
68,76,83,8.7,84.5
77,69,22,1,60
30,48,65,3.6,52
94,87,21,7.9,78.9
97,,37,3.8,60.5
86,95,87,8.5,103.2
87,86,66,4.3,83.6
51,27,37,10.2,47.6
31,98,22,8.9,62.4
69,43,61,2,55.9
69,91,85,9.1,94.3
100,78,28,3.4,63.8
39,89,71,6.4,74.3
62,26,22,11.3,50.9
59,39,84,1.8,67
79,48,57,3,63.6
71,88,29,6.7,72.4
21,58,58,8.6,58.3
55,100,39,8.1,71
98,63,89,5.4,88
37,72,100,7.5,79.3
77,59,47,8.1,70.3
97,49,22,3.2,57.2
85,34,67,3.2,63.6
20,28,78,3,48.5
40,48,97,6.5,74.3
77,67,32,8.2,66.2
92,57,50,2.6,66.2
65,55,88,11.5,79.2
46,32,97,6.7,62.5
100,93,21,1.7,71.8
26,57,39,2.6,47.2
36,,92,10.3,82.7
80,63,28,4.1,71
96,29,62,3,68.8
76,97,67,10,93.2
77,52,90,7.9,82.3
45,30,69,7.5,60.9
61,75,63,2.6,71.8
86,38,34,9.6,57.2
51,95,94,10.1,91.1
41,44,52,3.3,45
54,88,68,2.6,81.3
54,59,29,10.4,64.5
46,61,98,8.6,82.1
80,68,63,3.8,76.1
41,46,52,7.3,61.8
85,59,91,6.8,86.8
56,69,32,4.6,67.6
95,66,92,7,93.9
56,27,48,6.8,53.5
52,42,92,6.8,63.3
40,93,93,8.3,87.2
26,36,81,11,54.9
100,26,76,6.3,77.5
98,29,87,11.8,83.2
86,100,23,2.2,73.1
89,34,62,10,77.6
50,-10,50,8.9,54.9
65,30,91,1.6,66.9
24,63,52,6.1,50.2
52,65,100,5.9,83.3
89,37,91,8.9,83.5
71,38,61,2,60.2
73,70,96,5.6,87.6
93,75,65,4.1,90.2
86,93,90,7.3,100.3
44,59,28,4.3,49.7
76,-10,27,4.6,62.6
64,30,60,-4,59.5
99,75,83,5,97.1
83,90,94,10.7,101.2
75,77,98,10.7,98.9
69,73,95,7.4,90.6
30,72,72,8.5,72.3
53,48,91,9.9,69.8
49,93,70,11.3,80.1
23,30,95,4.1,54.5
20,36,96,5.6,55.5
20,68,71,6.6,61.2
66,32,35,8.1,47.3
80,24,47,4.1,52.8
39,20,98,2.8,57
94,67,48,9.8,76.1
60,40,99,3.1,69.5
